Restaurant Name,Address,Failed inspection on,Alive for x years
SANDELLA'S/CAPERS,225 S CANAL ST ,06/30/2014,2
SAUCY PORKA,400 S FINANCIAL PL ,09/15/2016,1
SHORE EGG CO,1135 W FULTON MARKET ,06/17/2011,1
SHORE LINE,55 E RANDOLPH ST ,09/06/2012,4
SILK ROAD LASALLE,19 S LA SALLE ST ,09/23/2011,5
SOCIALE AND CAFE PRESS,800 S CLARK ST ,09/08/2015,2
SOPRAFFINA,10 N DEARBORN ST ,07/23/2013,5
SOPRAFFINA MARKET CAFE,111 E WACKER DR ,06/04/2012,4
SPA FITNESS CENTER,151 W ADAMS ST ,11/30/2010,4
SPARROW COFFEE ROASTERY,1201 W LAKE ST ,02/06/2012,4
SPECIALTY'S CAFE BAKERY,191 N WACKER DR ,06/10/2014,2
STARBUCKS,333 N MICHIGAN AVE ,09/14/2016,1
STARBUCKS COFFEE #203,150 N WACKER DR ,08/02/2010,7
STARBUCKS COFFEE #211,227 W MONROE ST ,08/12/2010,7
STARBUCKS COFFEE #2247,55 E JACKSON BLVD ,10/16/2014,3
STARBUCKS COFFEE #233,231 S LA SALLE ST ,11/18/2013,4
STARBUCKS COFFEE #238,70 W MADISON ST ,11/21/2014,3
STARBUCKS COFFEE #2410,130 S CANAL ST ,05/05/2011,6
STARBUCKS COFFEE #2689,175 W JACKSON BLVD ,09/12/2012,5
STARBUCKS COFFEE #289,10 S RIVERSIDE PLZ ,11/16/2016,1
STARBUCKS/ MERCAT,636 S MICHIGAN AVE ,05/19/2014,2
STETSON'S,151 E WACKER DR ,07/18/2013,3
SUBWAY 28330,120 S STATE ST ,10/22/2015,1
SUBWAY SANDWICH,630 S CLARK ST ,01/20/2015,2
SUSHI PINK,909 W WASHINGTON BLVD ,10/20/2015,1
SWIFT & SONS/COLD STORAGE,1000 W FULTON MARKET ,09/24/2015,2
Shell Gas Station,1160 W VAN BUREN ST ,10/18/2010,6
"Stamper Cheese Company, Inc.",834-836 W Fulton Market ST ,10/04/2010,3
Subway,236 S State ST ,08/28/2015,1
TACO BURRITO KING,405 S WELLS ST ,05/11/2015,2
TAPAS VALANCIA,1530 S STATE ST ,10/21/2014,2
TARGET/ STARBUCKS,1154 S CLARK ST ,06/07/2017,1
TARGET/STARBUCKS/PIZZA HUT,1101 W JACKSON BLVD ,12/17/2013,5
TAVERN AT THE PARK,130 E RANDOLPH ST ,04/28/2014,2
"TETE CHARCUTERIE, LLC",1114 W RANDOLPH ST ,10/22/2013,1
THE ART INSTITUTE OF CHICAGO,112 S MICHIGAN AVE ,05/21/2013,5
THE BAR 10 DOORS,1251-1259 W TAYLOR ST ,02/21/2017,1
THE BETTY,845 W FULTON MARKET ,12/29/2014,4
THE CHICAGO FIREHOUSE REST.,1401 S MICHIGAN AVE ,05/03/2012,4
THE COFFEE ALLEY,1152 W TAYLOR ST ,02/27/2015,1
THE CROSS ROADS BAR & GRILL,1120-1124 W MADISON ST ,10/04/2017,1
THE DRUM & MONKEY,1435 W TAYLOR ST ,05/09/2017,1
THE EVEREST ROOM,440 S LA SALLE ST ,09/23/2010,7
THE FLORENTINE,151 W ADAMS ST ,03/10/2016,2
THE GAGE,24 S MICHIGAN AVE ,01/24/2017,1
THE GOODMAN THEATRE,170 N DEARBORN ST ,10/11/2016,1
THE GREAT AMERICAN BAGEL,1154 W MADISON ST ,09/29/2014,2
THE GRILLROOM,33 W MONROE ST ,06/29/2017,1
THE JUNCTION CHICAGO,225 S CANAL ST ,10/16/2014,2
THE MAIN CAFETERIA,111 W MONROE ST ,04/20/2010,7
THE MARQ,60 W ADAMS ST ,07/08/2014,2
"THE ROOF CROP, LLC",1516 W CARROLL ST ,11/06/2015,2
THE STANDARD CLUB,320 S PLYMOUTH CT ,07/18/2017,1
THE VAULT CAFE,135 S LA SALLE ST ,08/05/2015,3
TILTED KILT PUB & EATERY,17 N WABASH AVE ,10/08/2015,3
TONI PATTISERIE,65 E WASHINGTON ST ,04/26/2016,1
TRATTORIA #10,10 N DEARBORN ST ,01/17/2017,1
TRAVEL TRADERS,151 E WACKER DR FL ,07/09/2012,4
TRAVEL TRADERS #523,323 E WACKER DR ,12/28/2010,1
TRI STAR CATERING,150 S WACKER DR ,08/04/2010,4
TUSCANY RESTAURANT,1014-1018 W TAYLOR ST ,04/25/2012,6
The Buckingham Athletic Club,440 S LA SALLE ST ,09/23/2011,3
"The Cheese People, Inc.",834-836 W Fulton Market ST ,10/04/2010,3
Trattoria Caterina,614-618 S Dearborn ST ,04/06/2010,2
U.B. DOGS,185 N FRANKLIN ST BLDG ,01/19/2011,6
UNION STATION GREAT HALL,210 S CANAL ST ,05/30/2014,2
UNIVERSITY VILLAGE MONTESSORI SCHOOL,1314-1316 S HALSTED ST ,09/23/2016,1
URBAN MARKET,10 S DEARBORN ST FL ,09/30/2013,5
Under 55,55 E MONROE ST ,10/11/2016,2
VAN BUREN GENTLEMAN'S SALON,235 W VAN BUREN ST ,11/17/2014,3
VENICE CAFE,233 S WACKER DR ,12/16/2014,2
"VENUE ONE, LLC",1034 W RANDOLPH ST ,09/17/2013,3
VERSAILLE'S MASSAGE AND BAR,1329 S MICHIGAN AVE ,11/13/2015,2
VICE DISTRICT TAPROOM,1454 S MICHIGAN AVE ,08/26/2014,2
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,10/13/2015,2
VISTA CAFE,233 N MICHIGAN AVE ,04/04/2011,5
WALGREEN,100 W RANDOLPH ST ,08/01/2014,2
WALGREENS # 07179,2 E ROOSEVELT RD ,06/05/2015,1
WALGREENS #10558,250 S WACKER DR ,03/31/2010,6
WALNUT ROOM,111 N STATE ST ,02/03/2012,6
WENDY'S PROPERTIES LLC,6 S CLARK ST ,09/30/2015,2
WESTEND BAR & GRILL,1326-1328 W MADISON ST ,09/11/2015,1
WHICH WICH,108 N STATE ST ,11/14/2013,4
WILDBERRY CAFE,130 E RANDOLPH ST ,07/09/2012,5
WISHBONE RESTAURANT,1001 W WASHINGTON BLVD ,04/20/2015,1
WOLVERINE TRADING LLC,175 W JACKSON BLVD ,06/29/2016,2
WYNDHAM GRAND CHICAGO RIVERFRONT,71 E WACKER DR ,06/17/2016,1
XSPORT FITNESS,819 S STATE ST ,10/16/2014,2
YOLK,1120 S MICHIGAN AVE ,10/15/2014,2
YUMMY THAI,1418 W TAYLOR ST ,07/11/2017,1
ZAKI CHICAGO STYLE GRILLE,610 W ROOSEVELT RD ,02/23/2015,2
"ZORIN,INC",141 W JACKSON BLVD ,04/04/2011,6
